document,sentiment_label,polarity,subjectivity
"Conservations with your staff over the phone were quick, clear, and very helpful, arranging for installation sooner than I expected. The installer was a lovely guy, very efficient and cleaned up what little debris the drilling caused.",positive,0.15,0.45
"I spoke to tony and he was lovely, he talked me through everything I would possibly need to know, and he gave me the best deal possible which was perfect for my little family! The service was pretty simple and very easy to get through.",positive,0.34,0.77
,negative,0.0,0.0
"Very positive so far. Cheaper, more included and good staff.",positive,0.4,0.7
They was on time. Done a good job. Was very polite.,positive,0.45,0.45
"I was miss sold a package, mislead, not listened, not informed my bank details was going to be passed on to company and because of this I cancelled the contract",negative,0.0,0.0
Great help and amazing service,positive,0.7,0.82
Efficient and clear information,positive,0.1,0.38
Friendly helpfull staff,positive,0.38,0.5
,negative,0.0,0.0
very friendly & helpful people.plus most important the did what they told me would happen.new contract easy to understand. a good start lets hope it remains like this.thank you,positive,0.5,0.72
Was happy with the service offered,positive,0.8,1.0
"She was so helpful from start to finish and couldn¬""t have been any more accommodating to listen to what I wanted and honour the wonderful deal I had found to make sure I was as completely satisfied.",positive,0.62,0.85
The people I spoke to on the phone were more than helpful in an awful situation as I lost my brother and sorting it out for my dad amazing,negative,0.03,0.8
"On time, informative, polite and knew his job. A great set up and everything was done as we would have liked. 10/10",positive,0.7,0.78
Good value offer,positive,0.7,0.6
"As my systems are still not up and running, and it was supposed to have activated on the 17/02/2023. Still not had a phone call from a supervisor. I can¬""t receive any phone calls or watch TV as the technician was unable to set up a wire for my living room TV.",negative,-0.5,0.5
Man i spoke to on the phone was brilliant,positive,0.9,1.0
Wonderful service from your representative and the price beats by and sky hands down.,positive,0.42,0.64
"I had just moved into the property, and my previous supplier, said it would be difficult to reconnect the internet there, as someone had cut the cables. Having had a lot of problems and getting nowhere, I decided to switch suppliers. Your engineer that came to my property was so polite and reassuring that it could be reconnected, and it was. So after no internet for nearly a month, I am up and running. I can't thank the engineer enough. What I was told was impossible to fix, has now been rectified. Such polite service. Thank you",negative,-0.21,0.59
She answered all my questions,negative,0.0,0.0
,negative,0.0,0.0
No time management,negative,0.0,0.0
"I¬""ve only had a conversation about switching over to company,I don¬""t yet know what their service is like",negative,0.0,1.0
Customer service and staff are very polite and friendly.,positive,0.29,0.4
Great service,positive,0.8,0.75
The worst in communication and ability to contact the team who will refer you from one to another.,negative,-1.0,1.0
,negative,0.0,0.0
Really good value,positive,0.7,0.6
"Because your service is exceptional, prompt and most efficient service delivery. I will recommend company to lot and lots of people.",positive,0.58,0.75
,negative,0.0,0.0
"The customer service I received was really poor. I purchased a broadband deal. However the female customer service advisor was not very helpful or friendly. I found her rude and abrupt. I told her I had been referred by a friend, an I had a referral code. She told me she would take those details at the end of the call. As she finished reading the terms and conditions of my contract, she cut the call!. Shortly after I received emails about my contract, stating what I had purchased. She didn't attempt to recall me. I tried calling back to confirm everything had gone through as I was still unsure about what had just happens, I also had further questions to ask. When I tried to call back I was just bounced between department to department, advisor to advisor!",negative,-0.06,0.4
,negative,0.0,0.0
Up and running less than 24h. Fun friendly person on the phone. Effortless.,positive,0.17,0.26
Telephone conversation very hard to understand.but the installation went really good really nice man who installed it and explained everything I needed to know,positive,0.31,0.77
Friendly and professional,positive,0.24,0.3
,negative,0.0,0.0
Very helpful.,positive,0.2,0.3
Good presice and very clear information,positive,0.41,0.55
,negative,0.0,0.0
,negative,0.0,0.0
Good customer support when changing an order from broadband to a full package.,positive,0.52,0.58
"engineer was excellent, highly recommended!",positive,0.6,0.77
"Both the sales rep and customer service advisor were helpful and professional. After a lot of bad reviews online about ¬""s customer services I¬""ve pleasantly surprised so far on the service.",negative,-0.1,0.67
,negative,0.0,0.0
Good package,positive,0.7,0.6
Very good customer service,positive,0.91,0.78
"So far so good. Charlie was very efficient and helpful. Let¬""s hope it continues so. I am confident it will",positive,0.38,0.68
Great communication,positive,0.8,0.75
Because Chris was amazing when she contacted me after I had put my details online.,positive,0.6,0.9
,negative,0.0,0.0
Price of my bundle went up 2 days after i placed the order,negative,0.0,0.0
